RHC,20000,0.058,0.155,53.663,0.067
SA,20000,0.070,0.170,53.095,0.011
GA,20000,0.300,0.301,5633.359,0.004
RHC,30000,0.029,0.083,80.266,0.075
SA,30000,0.019,0.117,80.782,0.006
GA,30000,0.288,0.277,8358.436,0.004
RHC,40000,0.010,0.121,106.933,0.063
SA,40000,0.004,0.107,107.787,0.006
GA,40000,0.308,0.306,11063.638,0.006
RHC,50000,0.010,0.078,134.160,0.070
SA,50000,0.000,0.078,134.143,0.024
GA,50000,0.286,0.330,13680.898,0.004
RHC,60000,0.002,0.078,159.495,0.065
SA,60000,0.000,0.034,161.722,0.019
GA,60000,0.257,0.262,16233.642,0.005
RHC,70000,0.002,0.058,186.473,0.067
SA,70000,0.000,0.044,185.670,0.015
GA,70000,0.203,0.223,18683.549,0.012
RHC,80000,0.002,0.029,215.260,0.067
SA,80000,0.002,0.053,214.066,0.020
GA,80000,0.155,0.204,21335.888,0.006
RHC,90000,0.000,0.068,240.045,0.054
SA,90000,0.000,0.049,243.780,0.019
GA,90000,0.157,0.209,23446.588,0.005
RHC,100000,0.000,0.053,269.162,0.054
SA,100000,0.000,0.029,266.416,0.021
GA,100000,0.232,0.277,25176.804,0.005
