RHC,40,9.0,231,3
SA,40,39.0,190,2
RHC,40,18.0,251,5
SA,40,1.0,100,1
RHC,40,48.0,131,7
SA,40,39.0,273,4
RHC,40,1.0,140,6
SA,40,1.0,104,2
RHC,40,45.0,102,3
RHC,40,2.0,100,3
SA,40,17.0,152,3
SA,40,39.0,257,9
RHC,40,2.0,194,4
SA,40,39.0,295,8
GA,40,77.0,478,141
GA,40,77.0,265,167
GA,40,77.0,408,161
GA,40,77.0,676,156
RHC,40,5.0,100,25
SA,40,39.0,212,11
GA,40,77.0,287,140
GA,40,77.0,416,174
GA,40,77.0,555,198
GA,40,59.0,162,133
MIMIC,40,74.0,298,2855
RHC,60,3.0,100,0
SA,60,3.0,100,0
MIMIC,40,77.0,436,3050
RHC,60,2.0,100,1
SA,60,2.0,100,1
GA,60,116.0,1005,211
GA,60,116.0,939,242
MIMIC,40,76.0,516,3585
RHC,60,13.0,266,1
SA,60,17.0,164,5
GA,60,88.0,300,39
MIMIC,40,74.0,482,3870
RHC,60,2.0,108,0
SA,60,59.0,350,1
GA,60,71.0,308,75
MIMIC,40,75.0,549,4145
RHC,60,8.0,148,1
SA,60,1.0,100,0
GA,60,70.0,144,16
MIMIC,40,76.0,732,4616
RHC,60,5.0,142,1
SA,60,59.0,338,1
MIMIC,40,74.0,640,4706
RHC,60,1.0,100,1
SA,60,6.0,100,0
GA,60,116.0,513,57
GA,60,116.0,779,213
MIMIC,40,75.0,811,5138
RHC,60,7.0,234,1
SA,60,59.0,266,1
GA,60,98.0,889,101
MIMIC,60,115.0,628,4525
RHC,80,1.0,138,5
SA,80,79.0,357,0
GA,80,155.0,1315,132
MIMIC,60,115.0,616,4180
RHC,80,1.0,100,0
SA,80,19.0,250,1
GA,80,96.0,146,18
MIMIC,60,107.0,920,6400
RHC,80,2.0,100,0
SA,80,2.0,100,0
GA,80,88.0,249,59
MIMIC,60,108.0,1000,7325
RHC,80,2.0,100,1
SA,80,26.0,180,6
GA,80,155.0,1471,284
MIMIC,60,110.0,1000,7174
RHC,80,3.0,157,0
SA,80,5.0,148,1
GA,80,117.0,853,88
MIMIC,60,109.0,1000,7213
RHC,80,2.0,100,1
SA,80,79.0,356,2
GA,80,104.0,385,48
MIMIC,60,107.0,1000,7321
RHC,80,4.0,215,0
SA,80,2.0,100,1
GA,80,131.0,1130,203
MIMIC,60,105.0,1000,7184
RHC,80,5.0,177,0
SA,80,1.0,100,0
GA,80,155.0,1607,279
MIMIC,80,141.0,1000,10049
RHC,100,2.0,100,0
SA,100,1.0,162,0
GA,100,109.0,124,13
MIMIC,80,137.0,1000,10063
RHC,100,6.0,185,0
SA,100,1.0,100,1
GA,100,109.0,497,56
MIMIC,80,155.0,892,8740
RHC,100,1.0,100,0
SA,100,1.0,100,0
GA,100,113.0,530,70
MIMIC,80,139.0,1000,10229
RHC,100,9.0,197,0
SA,100,3.0,116,0
GA,100,113.0,404,53
MIMIC,80,149.0,1000,10241
RHC,100,2.0,168,2
SA,100,15.0,184,0
GA,100,108.0,175,18
MIMIC,80,135.0,1000,10215
RHC,100,4.0,114,0
