RHC,8,4.0,113,10
SA,8,0.0,79,4
RHC,8,0.0,22,5
SA,8,0.0,92,5
RHC,8,2.0,108,15
RHC,8,2.0,116,65
SA,8,2.0,127,32
SA,8,2.0,107,13
RHC,8,0.0,23,13
GA,8,56.0,156,131
SA,8,2.0,120,44
GA,8,0.0,0,0
RHC,8,2.0,120,60
SA,8,2.0,107,16
RHC,8,0.0,34,52
SA,8,0.0,39,7
RHC,8,2.0,109,55
SA,8,2.0,113,27
GA,8,56.0,155,224
GA,8,56.0,172,341
MIMIC,8,2.0,102,739
RHC,16,4.0,143,20
SA,16,2.0,216,25
MIMIC,8,2.0,102,828
RHC,16,2.0,143,3
SA,16,2.0,159,3
MIMIC,8,4.0,114,658
RHC,16,2.0,155,6
SA,16,0.0,131,28
MIMIC,8,2.0,149,991
RHC,16,2.0,232,4
SA,16,2.0,203,8
GA,8,20.0,100000,25795
GA,8,24.0,100000,26058
GA,8,14.0,100000,26061
GA,8,16.0,100000,26236
MIMIC,8,2.0,2,50
RHC,16,4.0,122,3
SA,16,2.0,127,25
MIMIC,8,4.0,100,461
RHC,16,4.0,130,5
SA,16,2.0,227,7
GA,16,240.0,231,326
MIMIC,8,4.0,117,689
RHC,16,4.0,138,4
MIMIC,8,4.0,342,1167
GA,16,240.0,330,384
RHC,16,6.0,126,18
SA,16,2.0,183,30
SA,16,2.0,180,7
GA,16,240.0,247,285
GA,16,240.0,417,269
MIMIC,16,10.0,114,826
RHC,24,2.0,325,10
SA,24,4.0,239,21
MIMIC,16,8.0,256,1474
RHC,24,8.0,164,5
SA,24,4.0,261,12
GA,24,552.0,1355,1995
GA,24,552.0,1166,1510
MIMIC,16,6.0,822,5124
RHC,24,6.0,348,11
SA,24,4.0,265,8
GA,24,552.0,335,430
MIMIC,16,10.0,1000,6430
RHC,24,6.0,211,9
SA,24,6.0,159,9
GA,24,552.0,285,396
MIMIC,24,12.0,664,7027
RHC,32,6.0,201,8
SA,32,10.0,167,7
MIMIC,24,12.0,984,9358
RHC,32,0.0,239,11
SA,32,6.0,166,7
GA,32,992.0,341,604
MIMIC,24,16.0,741,7177
RHC,32,6.0,253,12
SA,32,10.0,262,12
GA,32,992.0,351,626
MIMIC,24,14.0,955,9709
RHC,32,10.0,177,8
SA,32,10.0,147,7
GA,32,992.0,464,847
MIMIC,32,16.0,325,4831
RHC,40,10.0,219,15
SA,40,4.0,345,23
GA,40,1560.0,642,1637
MIMIC,32,16.0,1000,15130
RHC,40,12.0,306,20
SA,40,6.0,394,27
GA,40,1560.0,623,1748
MIMIC,32,12.0,1000,15633
RHC,40,6.0,326,35
SA,40,12.0,235,15
GA,40,1560.0,865,2241
GA,16,82.0,100000,66582
GA,16,88.0,100000,66813
GA,16,92.0,100000,66926
MIMIC,40,20.0,1000,21938
MIMIC,16,6.0,409,2373
RHC,24,2.0,301,7
SA,24,4.0,222,5
GA,24,552.0,499,517
GA,16,90.0,100000,70773
MIMIC,16,6.0,821,4309
RHC,24,6.0,170,5
SA,24,6.0,205,7
MIMIC,16,6.0,673,3761
RHC,24,6.0,142,4
SA,24,6.0,179,5
GA,24,552.0,337,363
GA,24,552.0,362,413
MIMIC,16,12.0,219,1199
RHC,24,6.0,229,7
SA,24,2.0,279,9
MIMIC,24,16.0,218,2072
RHC,32,8.0,249,11
SA,32,8.0,196,9
MIMIC,24,16.0,281,2533
RHC,32,8.0,300,14
SA,32,8.0,239,11
GA,32,992.0,504,748
GA,32,992.0,2892,5241
MIMIC,40,28.0,1000,22437
MIMIC,24,8.0,803,7626
RHC,32,6.0,136,6
SA,32,4.0,223,8
GA,32,992.0,421,703
MIMIC,40,24.0,1000,21879
MIMIC,32,20.0,440,6068
RHC,40,8.0,244,13
SA,40,6.0,376,19
GA,40,1560.0,570,1190
MIMIC,32,18.0,939,12953
RHC,40,8.0,278,18
SA,40,8.0,260,17
GA,40,1560.0,535,1310
MIMIC,32,16.0,1000,13555
RHC,40,10.0,193,10
SA,40,8.0,206,11
GA,40,1560.0,526,1198
GA,24,552.0,22201,23857
MIMIC,40,18.0,729,14843
MIMIC,24,16.0,1000,8448
RHC,32,6.0,282,11
SA,32,4.0,231,9
MIMIC,40,20.0,1000,19333
GA,32,992.0,414,564
MIMIC,40,12.0,551,10603
GA,32,992.0,38621,69227
MIMIC,32,16.0,270,3236
RHC,40,8.0,276,14
SA,40,2.0,367,20
GA,40,1560.0,693,1345
MIMIC,32,14.0,741,8506
RHC,40,10.0,225,11
SA,40,12.0,284,14
GA,40,1560.0,548,1088
MIMIC,40,20.0,773,12803
MIMIC,40,24.0,1000,16400
